title,datePublished,genre,publisher,viewsCount
Deep in the heart of Texas - Gene Autry,2015-02-24,Music,Tex - Mex,107377
Donna Summer - Last Dance (Single Version),2018-09-09,Music,2000X-50X,1221
Daniel Caesar - Best Part (feat. H.E.R.),2017-08-24,Entertainment,EscapeTracks,106558620
Demi Lovato - Sorry Not Sorry (Official Video),2017-07-19,Music,DemiLovatoVEVO,488855862
Fitz And The Tantrums - Out Of My League [Official Music Video],2013-04-23,Music,Fitz and the Tantrums,21174621
joji - will he,2017-10-18,Entertainment,88rising,67979108
Martin Garrix & Dua Lipa - Scared To Be Lonely (Official Video),2017-01-26,Music,Martin Garrix,652234263
Yiruma - River Flows in You,2018-10-08,Music,Rousseau,36944165
Nirvana - Come As You Are,2009-06-16,Music,NirvanaVEVO,419424511
Rick Nelson & The Stone Canyon Band - Garden Party,2012-10-26,Music,Darryl Hushaw,16355
Post Malone - Circles,2019-09-03,Music,PostMaloneVEVO,421331524
Lauv - I Like Me Better [Official Audio],2017-05-18,Music,Lauv,304753706
Maroon 5 - Sugar (Official Music Video),2015-01-14,Music,Maroon5VEVO,3594298323
Maroon 5 - Girls Like You ft. Cardi B (Official Chipmunks Video),2021-05-27,Music,Version Chipmunks,1740696
R. City - Locked Away ft. Adam Levine,2015-08-14,Music,RockCityVEVO,870230489
Rihanna - Man Down,2011-06-01,Music,RihannaVEVO,830251267
Ellie Goulding - Love Me Like You Do - Fifty Shades of Grey,2019-07-28,Music,Ένας αγέρας,87884463
"Dillon Francis, DJ Snake - Get Low (Official Music Video)",2014-05-22,Music,DillonFrancisVEVO,691895619
Katy Perry - Last Friday Night (T.G.I.F.) (Official Music Video),2011-06-12,Music,KatyPerryVEVO,1380736047
Adele - Hello,2015-10-22,Music,AdeleVEVO,2915031889
Justin Bieber - Sorry (Official Lyric Video),2015-10-29,Music,JustinBieberVEVO,331811614
Rihanna - What's My Name? (Official Music Video) ft. Drake,2010-11-12,Music,RihannaVEVO,893771653
Lil Wayne - Lollipop (Audio) Ft. Static Major,2017-08-28,People & Blogs,Explicit Content,117858
Sebastián Yatra - No Hay Nadie Más,2018-01-25,Music,SebastianYatraVEVO,868447067
Ed Sheeran - Thinking Out Loud (Official Music Video),2014-10-07,Music,Ed Sheeran,3362911486
Calvin Harris - Blame ft. John Newman,2014-09-12,Music,CalvinHarrisVEVO,771997561
Maluma - Corazón (Official Video) ft. Nego do Borel,2017-12-08,Music,MalumaVEVO,1564925738
SPIDER-MAN: NO WAY HOME - Official Trailer (HD),2021-11-16,Entertainment,Sony Pictures Entertainment,46169108
Ariana Grande - Focus,2015-10-29,Music,ArianaGrandeVevo,950256922
Scream | Official Trailer (2022 Movie),2021-10-12,Film & Animation,Paramount Pictures,15606425
Michael Jackson - They Don’t Care About Us (Brazil Version) (Official Video),2009-10-02,Music,michaeljacksonVEVO,869326954
"Nightmare Alley - Official Trailer (2021) Bradley Cooper, Cate Blanchett",2021-11-18,Entertainment,IGN,80566
Kids Fun TV - Come Join The Fun Squad (Official Music Video),2020-11-27,Entertainment,Kids Fun TV,104000845
Don't Look Up Trailer #1 (2021) | Movieclips Trailers,2021-11-16,Film & Animation,Movieclips Trailers,191664
LISA - MONEY (Lyrics),2021-11-17,Music,The New Vibe,1035652
DOG | Official Trailer | MGM Studios,2021-11-17,Entertainment,MGM,4619518
UGC NET 2021 Paper 1 Analysis 21 Nov Shift 1| UGC NET 2021 Answer Key and Expected Cut Off |UGC NET,2021-11-21,Education,UGC NET MENTOR,38023
ANYTHING FOR WHITE CLAWS,2019-10-17,People & Blogs,Sam Silverstein,1801
I Pretend To Be A Baby Demogorgon Until The Last Gen Pops,2021-11-19,Gaming,SupaAlf,43369
"Freestyle Beat - ""Udud"" | Free Type Beat 2021 | Laybeats entertaiment",2021-08-06,Music,LayBeats entertainment,521
How to use while in english | usage of while in english | spoken english in telugu | vashista 360,2020-10-15,Education,Vashista 360,78075
Vik Vicious - Loop Tale,2021-10-11,Music,Vik Vicious,243
White,2021-09-16,Music,Juliito - Topic,416910
Cheap And Easy DIY Bench for Under $50,2019-06-02,Entertainment,Kuipers Adventures,327143
The *NEW* Mage Build - Void Gauntlet + Fire Staff New World PvP Build,2021-11-18,Gaming,BRETTY,34785
"Cooking Very Delicious Shawarma in the Village House, Rural Life in a Faraway Azerbaijani Village",2021-11-15,People & Blogs,Villageria,33087
Rival - Throne (ft. Neoni) [Official Lyric Video],2021-04-02,Music,Rival,206647
A grown man gets emotional (again) to Taylor Swift - All Too Well: The Short Film,2021-11-17,Entertainment,Jon Denton,123790
"Urban, Suburban and Rural Areas for Kids",2016-11-14,People & Blogs,Homeschool Pop,354372
Training under the lights | Wolves prepare for West Ham clash,2021-11-19,Sports,Wolves,16254
LiSA / crossing field (TOKYO MACHINE Remix) - Sakura Chill Beats [Sword Art Online ソードアート・オンライン OP],2021-11-20,Music,Sakura Chill Beats,202480
It's been so long meme|Collab w. _Nightmare_ Wølfe_  and Basic|,2021-01-20,Autos & Vehicles,Bᴀsɪᴄ,22683
Doja Cat - Woman (Visualizer),2021-06-24,Music,dojacatVEVO,79501850
Marry Me Official Trailer,2021-11-18,Entertainment,Entertainment Tonight,485023
